# Wordlist

# DATA
ID	CONCEPT	COUNTERPART	DOCULECT	COGID	TOKENS	IPA	ALIGNMENT
379	*burōjanan	*burōjanan	Proto-Germanic	105	b u r oː j a n	buroːjanan	b u r oː j a n
380	*burōjanan	bohren	German	105	b oː r ə n	boːrən	b oː r ə - - n
381	*burōjanan	bore	English	105	b ɔː r	bɔːr	b ɔː r - - - -
382	*burōjanan	boren	Dutch	105	b oː r ə	boːrə	b oː r ə - - -
#
638	*bō	*bō	Proto-Germanic	176	b oː	boː	b oː - -
639	*bō	beide	German	176	b ai d ə	baidə	b ai d ə
640	*bō	both	English	176	b əʊ θ	bəʊθ	b əʊ θ -
641	*bō	beide	Dutch	176	b ɛɪ d ə	bɛɪdə	b ɛɪ d ə
#
222	*bōguz	*bōguz	Proto-Germanic	62	b oː g	boːguz	b oː g
223	*bōguz	Bug	German	62	b uː k	buːk	b uː k
224	*bōguz	bough	English	62	b aʊ	baʊ	b aʊ -
#
934	*bōkz	*bōkz	Proto-Germanic	257	b oː k z	boːkz	b oː k z
935	*bōkz	Buch	German	257	b uː x	buːx	b uː x -
936	*bōkz	book	English	257	b ʊ k	bʊk	b ʊ k -
937	*bōkz	boek	Dutch	257	b uː k	buːk	b uː k -
#
1862	*bōkō	*bōkō	Proto-Germanic	511	b oː k oː	boːkoː	b oː k oː - - -
1863	*bōkō	Buche	German	511	b uː x ə	buːxə	b uː x ə - - -
1864	*bōkō	beech	English	511	b iː ʧ	biːʧ	b iː ʧ - - - -
1865	*bōkō	beukeboom	Dutch	511	b øː k ə b oː m	bøːkəboːm	b øː k ə b oː m
#
23	*bōsmaz	*bōsmaz	Proto-Germanic	7	b oː s m	boːsmaz	b oː s - m
24	*bōsmaz	Busen	German	7	b uː z ə n	buːzən	b uː z ə n
25	*bōsmaz	bosom	English	7	b ʊ z ə m	bʊzəm	b ʊ z ə m
26	*bōsmaz	boezem	Dutch	7	b uː z ə m	buːzəm	b uː z ə m
#
1030	*būran	*būran	Proto-Germanic	283	b uː r	buːran	b uː r
1031	*būran	Bauer	German	283	b auə r	bauər	b auə r
1032	*būran	bower	English	283	b aʊə r	baʊər	b aʊə r
1033	*būran	boer	Dutch	283	b uː r	buːr	b uː r
#
780	*dagaz	*dagaz	Proto-Germanic	214	d a g	dagaz	d a g
781	*dagaz	Tag	German	214	t aː k	taːk	t aː k
782	*dagaz	day	English	214	d eɪ	deɪ	d eɪ -
783	*dagaz	dag	Dutch	214	d ɑ x	dɑx	d ɑ x
#
761	*daigaz	*daigaz	Proto-Germanic	209	d ai g	daigaz	d ai g
762	*daigaz	Teig	German	209	t ai k	taik	t ai k
763	*daigaz	dough	English	209	d əʊ	dəʊ	d əʊ -
764	*daigaz	deeg	Dutch	209	d eː x	deːx	d eː x
#
1082	*dailiz	*dailiz	Proto-Germanic	297	d ai l	dailiz	d ai l
1083	*dailiz	Teil	German	297	t ai l	tail	t ai l
1084	*dailiz	deal	English	297	d iː l	diːl	d iː l
1085	*dailiz	deel	Dutch	297	d eː l	deːl	d eː l
#
1181	*dalaz	*dalaz	Proto-Germanic	324	d a l	dalaz	d a l
1182	*dalaz	Tal	German	324	t aː l	taːl	t aː l
1183	*dalaz	dale	English	324	d eɪ l	deɪl	d eɪ l
1184	*dalaz	dal	Dutch	324	d ɑ l	dɑl	d ɑ l
#
473	*dampaz	*dampaz	Proto-Germanic	130	d a m p	dampaz	d a m p
474	*dampaz	Dampf	German	130	d a m p͡f	damp͡f	d a m p͡f
475	*dampaz	damp	Dutch	130	d ɑ m p	dɑmp	d ɑ m p
#
1307	*daupjanan	*daupjanan	Proto-Germanic	359	d au p j a n	daupjanan	d au p j a n
1308	*daupjanan	taufen	German	359	t au f ə n	taufən	t au f - ə n
1309	*daupjanan	dopen	Dutch	359	d oː p ə	doːpə	d oː p - ə -
#
1517	*dawwō	*dawwō	Proto-Germanic	416	d a ww oː	dawwoː	d - a ww oː
1518	*dawwō	Tau	German	416	t au	tau	t - au - -
1519	*dawwō	dew	English	416	d j uː	djuː	d j uː - -
1520	*dawwō	dauw	Dutch	416	d ɑu ʋ	dɑuʋ	d - ɑu ʋ -
#
893	*deljaz	*deljaz	Proto-Germanic	246	d e l j	deljaz	d e l j
894	*deljaz	Dill	German	246	d ɪ l	dɪl	d ɪ l -
895	*deljaz	dill	English	246	d ɪ l	dɪl	d ɪ l -
896	*deljaz	dille	Dutch	246	d ɪ l ə	dɪlə	d ɪ l ə
#
406	*deuzan	*deuzan	Proto-Germanic	112	d eu z	deuzan	d eu z
407	*deuzan	Tier	German	112	t iː r	tiːr	t iː r
408	*deuzan	deer	English	112	d ɪə r	dɪər	d ɪə r
409	*deuzan	dier	Dutch	112	d iː r	diːr	d iː r
#
741	*drankan	*drankan	Proto-Germanic	204	d r a n k	drankan	d r a n k
742	*drankan	Trank	German	204	t r a ŋ k	traŋk	t r a ŋ k
743	*drankan	drench	English	204	d r ɛ n ʧ	drɛnʧ	d r ɛ n ʧ
744	*drankan	drank	Dutch	204	d r ɑ ŋ k	drɑŋk	d r ɑ ŋ k
#
395	*draumaz	*draumaz	Proto-Germanic	109	d r au m	draumaz	d r au m
396	*draumaz	Traum	German	109	t r au m	traum	t r au m
397	*draumaz	dream	English	109	d r iː m	driːm	d r iː m
398	*draumaz	droom	Dutch	109	d r oː m	droːm	d r oː m
#
19	*drenkanan	*drenkanan	Proto-Germanic	6	d r e n k a n	drenkanan	d r e n k a n
20	*drenkanan	trinken	German	6	t r ɪ ŋ k ə n	trɪŋkən	t r ɪ ŋ k ə n
21	*drenkanan	drink	English	6	d r ɪ ŋ k	drɪŋk	d r ɪ ŋ k - -
22	*drenkanan	drinken	Dutch	6	d r ɪ ŋ k ə	drɪŋkə	d r ɪ ŋ k ə -
#
882	*dreupanan	*dreupanan	Proto-Germanic	243	d r eu p a n	dreupanan	d r eu p a n
883	*dreupanan	triefen	German	243	t r iː f ə n	triːfən	t r iː f ə n
884	*dreupanan	druipen	Dutch	243	d r œy p ə	drœypə	d r œy p ə -
#
1240	*drībanan	*drībanan	Proto-Germanic	341	d r iː b a n	driːbanan	d r iː b a n
1241	*drībanan	treiben	German	341	t r ai b ə n	traibən	t r ai b ə n
1242	*drībanan	drive	English	341	d r aɪ v	draɪv	d r aɪ v - -
1243	*drībanan	drijven	Dutch	341	d r ɛɪ v ə	drɛɪvə	d r ɛɪ v ə -
#
1237	*dugunθiz	*dugunθiz	Proto-Germanic	340	d u g u n θ	dugunθiz	d u g u n θ
1238	*dugunθiz	Tugend	German	340	t uː ɡ ə n t	tuːɡənt	t uː ɡ ə n t
1239	*dugunθiz	deugd	Dutch	340	d øː x t	døːxt	d øː x - - t
#
101	*duran	*duran	Proto-Germanic	29	d u r	duran	d u r
102	*duran	Tor	German	29	t oː r	toːr	t oː r
103	*duran	door	English	29	d ɔː r	dɔːr	d ɔː r
#
577	*dēdiz	*dēdiz	Proto-Germanic	159	d eː d	deːdiz	d eː d
578	*dēdiz	Tat	German	159	t aː t	taːt	t aː t
579	*dēdiz	deed	English	159	d iː d	diːd	d iː d
580	*dēdiz	daad	Dutch	159	d aː t	daːt	d aː t
#
1581	*dōnan	*dōnan	Proto-Germanic	434	d oː n	doːnan	d oː n
1582	*dōnan	tun	German	434	t uː n	tuːn	t uː n
1583	*dōnan	do	English	434	d uː	duː	d uː -
1584	*dōnan	doen	Dutch	434	d uː n	duːn	d uː n
#
54	*dūbōn	*dūbōn	Proto-Germanic	16	d uː b oː n	duːboːn	d uː b oː n
55	*dūbōn	Taube	German	16	t au b ə	taubə	t au b ə -
56	*dūbōn	dove	English	16	d ʌ v	dʌv	d ʌ v - -
57	*dūbōn	dove	Dutch	16	d oː v ə	doːvə	d oː v ə -
#
601	*end	*end	Proto-Germanic	166	e n d	end	- e n d
602	*end	ein	German	166	ai n	ain	- ai n -
603	*end	one	English	166	ʋ ʌ n	ʋʌn	ʋ ʌ n -
604	*end	een	Dutch	166	eː n	eːn	- eː n -
#
1345	*eni	*eni	Proto-Germanic	369	e n i	eni	- e n i
1346	*eni	Matte	German	369	m a t ə	matə	m a t ə
1347	*eni	meadow	English	369	m ɛ d əʊ	mɛdəʊ	m ɛ d əʊ
#
86	*erθo	*erθo	Proto-Germanic	25	e r θ o	erθo	e r θ o
87	*erθo	Erde	German	25	eː r d ə	eːrdə	eː r d ə
88	*erθo	earth	English	25	ɜː θ	ɜːθ	ɜː - θ -
89	*erθo	aarde	Dutch	25	aː r d ə	aːrdə	aː r d ə
#
1330	*etanan	*etanan	Proto-Germanic	365	e t a n	etanan	e t a n
1331	*etanan	essen	German	365	ɛ s ə n	ɛsən	ɛ s ə n
1332	*etanan	eat	English	365	iː t	iːt	iː t - -
1333	*etanan	eten	Dutch	365	eː t ə	eːtə	eː t ə -
#
909	*fadēr	*fadēr	Proto-Germanic	250	f a d eː r	fadeːr	f a d eː r
910	*fadēr	Vater	German	250	f aː t ə r	faːtər	f aː t ə r
911	*fadēr	father	English	250	f ɑː ð ə r	fɑːðər	f ɑː ð ə r
912	*fadēr	vader	Dutch	250	v aː d ə r	vaːdər	v aː d ə r
#
247	*fallanan	*fallanan	Proto-Germanic	69	f a ll a n	fallanan	f a ll a n
248	*fallanan	fallen	German	69	f a l ə n	falən	f a l ə n
249	*fallanan	fall	English	69	f ɔː l	fɔːl	f ɔː l - -
250	*fallanan	vallen	Dutch	69	v ɑ l ə	vɑlə	v ɑ l ə -
#
442	*falθanan	*falθanan	Proto-Germanic	122	f a l θ a n	falθanan	f a l θ a n
443	*falθanan	falten	German	122	f a l t ə n	faltən	f a l t ə n
444	*falθanan	fold	English	122	f əʊ l d	fəʊld	f əʊ l d - -
445	*falθanan	vouw	Dutch	122	v ɑu ʋ	vɑuʋ	v ɑu ʋ - - -
#
1839	*fanxanan	*fanxanan	Proto-Germanic	504	f a n x a n	fanxanan	f a n x a n
1840	*fanxanan	fangen	German	504	f a ŋ ə n	faŋən	f a ŋ - ə n
1841	*fanxanan	vangen	Dutch	504	v ɑ ŋ ə	vɑŋə	v ɑ ŋ - ə -
#
202	*faranan	*faranan	Proto-Germanic	57	f a r a n	faranan	f a r a n
203	*faranan	fahren	German	57	f aː r ə n	faːrən	f aː r ə n
204	*faranan	fare	English	57	f ɛə r	fɛər	f ɛə r - -
205	*faranan	varen	Dutch	57	v aː r ə	vaːrə	v aː r ə -
#
461	*farnan	*farnan	Proto-Germanic	127	f a r n	farnan	f a r n -
462	*farnan	Farn	German	127	f a r n	farn	f a r n -
463	*farnan	fern	English	127	f ɜː n	fɜːn	f ɜː - n -
464	*farnan	varen	Dutch	127	v aː r ə	vaːrə	v aː r - ə
#
1314	*fastēnan	*fastēnan	Proto-Germanic	361	f a s t eː n	fasteːnan	f a s t eː n
1315	*fastēnan	fasten	German	361	f a s t ə n	fastən	f a s t ə n
1316	*fastēnan	fast	English	361	f ɑː s t	fɑːst	f ɑː s t - -
1317	*fastēnan	vasten	Dutch	361	v ɑ s t ə	vɑstə	v ɑ s t ə -
#
360	*fedwōrez	*fedwōrez	Proto-Germanic	100	f e d w oː r e z	fedwoːrez	f e d w oː r e z
361	*fedwōrez	vier	German	100	f iː r	fiːr	f iː - - - r - -
362	*fedwōrez	four	English	100	f ɔː r	fɔːr	f ɔː - - - r - -
363	*fedwōrez	vier	Dutch	100	v iː r	viːr	v iː - - - r - -
#
1798	*fellan	*fellan	Proto-Germanic	493	f e ll	fellan	f e ll
1799	*fellan	Fell	German	493	f ɛ l	fɛl	f ɛ l
1800	*fellan	fell	English	493	f ɛ l	fɛl	f ɛ l
1801	*fellan	vel	Dutch	493	v ɛ l	vɛl	v ɛ l
#
1209	*felxanan	*felxanan	Proto-Germanic	332	f e l x a n	felxanan	f e l x a n
1210	*felxanan	Felge	German	332	f ɛ l ɡ ə	fɛlɡə	f ɛ l ɡ ə -
1211	*felxanan	velg	Dutch	332	v ɛ l x	vɛlx	v ɛ l x - -
#
697	*felθuz	*felθuz	Proto-Germanic	192	f e l θ	felθuz	f e l θ
698	*felθuz	Feld	German	192	f ɛ l t	fɛlt	f ɛ l t
699	*felθuz	field	English	192	f iː l d	fiːld	f iː l d
700	*felθuz	veld	Dutch	192	v ɛ l t	vɛlt	v ɛ l t
#
1699	*fengraz	*fengraz	Proto-Germanic	466	f e n g r	fengraz	f e n g - r
1700	*fengraz	Finger	German	466	f ɪ ŋ ə r	fɪŋər	f ɪ ŋ - ə r
1701	*fengraz	finger	English	466	f ɪ ŋ ɡ ə r	fɪŋɡər	f ɪ ŋ ɡ ə r
1702	*fengraz	vinger	Dutch	466	v ɪ ŋ ə r	vɪŋər	v ɪ ŋ - ə r
#
1759	*fenθanan	*fenθanan	Proto-Germanic	482	f e n θ a n	fenθanan	f e n θ a n
1760	*fenθanan	finden	German	482	f ɪ n d ə n	fɪndən	f ɪ n d ə n
1761	*fenθanan	find	English	482	f aɪ n d	faɪnd	f aɪ n d - -
1762	*fenθanan	vinden	Dutch	482	v ɪ n d ə	vɪndə	v ɪ n d ə -
#
157	*fextanan	*fextanan	Proto-Germanic	45	f e x t a n	fextanan	f e x t a n
158	*fextanan	fechten	German	45	f ɛ x t ə n	fɛxtən	f ɛ x t ə n
159	*fextanan	fight	English	45	f aɪ t	faɪt	f aɪ - t - -
160	*fextanan	vechten	Dutch	45	v ɛ x t ə	vɛxtə	v ɛ x t ə -
#
115	*fexu	*fexu	Proto-Germanic	33	f e x u	fexu	f e x u
116	*fexu	Vieh	German	33	v iː	viː	v iː - -
117	*fexu	fee	English	33	f iː	fiː	f iː - -
118	*fexu	vee	Dutch	33	v eː	veː	v eː - -
#
1259	*fiskaz	*fiskaz	Proto-Germanic	346	f i s k	fiskaz	f i s k
1260	*fiskaz	Fisch	German	346	f ɪ ʃ	fɪʃ	f ɪ ʃ -
1261	*fiskaz	fish	English	346	f ɪ ʃ	fɪʃ	f ɪ ʃ -
1262	*fiskaz	vis	Dutch	346	v ɪ s	vɪs	v ɪ s -
#
1026	*flaiskaz	*flaiskaz	Proto-Germanic	282	f l ai s k	flaiskaz	f l ai s k
1027	*flaiskaz	Fleisch	German	282	f l ai ʃ	flaiʃ	f l ai ʃ -
1028	*flaiskaz	flesh	English	282	f l ɛ ʃ	flɛʃ	f l ɛ ʃ -
1029	*flaiskaz	vlees	Dutch	282	v l eː s	vleːs	v l eː s -
#
48	*flaskō	*flaskō	Proto-Germanic	14	f l a s k oː	flaskoː	f l a s k oː
49	*flaskō	Flasche	German	14	f l a ʃ ə	flaʃə	f l a ʃ - ə
50	*flaskō	flask	English	14	f l ɑː s k	flɑːsk	f l ɑː s k -
#
970	*flauxz	*flauxz	Proto-Germanic	267	f l au x z	flauxz	f l au x z
971	*flauxz	Floh	German	267	f l oː	floː	f l oː - -
972	*flauxz	flea	English	267	f l iː	fliː	f l iː - -
973	*flauxz	vlo	Dutch	267	v l oː	vloː	v l oː - -
#
1808	*flaxsan	*flaxsan	Proto-Germanic	496	f l a x s	flaxsan	f l a x s
1809	*flaxsan	Flachs	German	496	f l a k s	flaks	f l a k s
1810	*flaxsan	flax	English	496	f l æ k s	flæks	f l æ k s
1811	*flaxsan	vlas	Dutch	496	v l ɑ s	vlɑs	v l ɑ - s
#
1107	*fleuganan	*fleuganan	Proto-Germanic	304	f l eu g a n	fleuganan	f l eu g a n
1108	*fleuganan	fliegen	German	304	f l iː ɡ ə n	fliːɡən	f l iː ɡ ə n
1109	*fleuganan	fly	English	304	f l aɪ	flaɪ	f l aɪ - - -
1110	*fleuganan	vliegen	Dutch	304	v l iː ɣ ə	vliːɣə	v l iː ɣ ə -
#
1225	*fleuxanan	*fleuxanan	Proto-Germanic	337	f l eu x a n	fleuxanan	f l eu x a n
1226	*fleuxanan	fliehen	German	337	f l iːə n	fliːən	f l iːə - - n
1227	*fleuxanan	flee	English	337	f l iː	fliː	f l iː - - -
1228	*fleuxanan	vlieden	Dutch	337	v l iː d ə	vliːdə	v l iː d ə -
#
1642	*flextanan	*flextanan	Proto-Germanic	451	f l e x t a n	flextanan	f l e x t a n
1643	*flextanan	flechten	German	451	f l ɛ x t ə n	flɛxtən	f l ɛ x t ə n
