# Wordlist

# DATA
ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	ALIGNMENT
502	English	*brekanan	break	breɪk	b r eɪ k	137	b r eɪ k - - - -
503	Dutch	*brekanan	breken	breːkə	b r eː k ə	137	b r eː k ə - - -
1513	Proto-Germanic	*brekanan	*brekanan	brekanan	b r e k a n a n	415	b r e k a n a n
1514	German	*brekanan	Bruch	brʊx	b r ʊ x	415	b r ʊ x - - - -
1515	English	*brekanan	breeches	brɪʧɪz	b r ɪ ʧ ɪ z	415	b r ɪ ʧ ɪ z - -
1516	Dutch	*brekanan	broek	bruːk	b r uː k	415	b r uː k - - - -
#
1649	Proto-Germanic	*brenganan	*brenganan	brenganan	b r e n g a n a n	453	b r e n g a n a n
1650	German	*brenganan	bringen	brɪŋən	b r ɪ ŋ ə n	453	b r ɪ - - - ŋ ə n
1651	English	*brenganan	bring	brɪŋ	b r ɪ ŋ	453	b r ɪ - - - - - ŋ
1652	Dutch	*brenganan	brengen	brɛŋə	b r ɛ ŋ ə	453	b r ɛ - - - ŋ ə -
#
1751	Proto-Germanic	*brestanan	*brestanan	brestanan	b r e s t a n a n	480	b r e - s t a n a n
1752	German	*brestanan	bersten	bɛrstən	b ɛ r s t ə n	480	b - ɛ r s t ə - - n
1753	English	*brestanan	burst	bɜːst	b ɜː s t	480	b - ɜː - s t - - - -
1754	Dutch	*brestanan	barsten	bɑrstə	b ɑ r s t ə	480	b - ɑ r s t ə - - -
#
154	Proto-Germanic	*brunnōn	*brunnōn	brunnoːn	b r u nn oː n	44	b r u nn oː n
155	German	*brunnōn	Brunnen	brʊnən	b r ʊ n ə n	44	b r ʊ n ə n
156	Dutch	*brunnōn	bron	brɔn	b r ɔ n	44	b r ɔ - - n
#
1770	Proto-Germanic	*brustz	*brustz	brustz	b r u s t z	485	b r u - s t z
1771	German	*brustz	Brust	brʊst	b r ʊ s t	485	b r ʊ - s t -
1772	English	*brustz	breast	brɛst	b r ɛ s t	485	b r ɛ - s t -
1773	Dutch	*brustz	borst	bɔrst	b ɔ r s t	485	b - ɔ r s t -
#
293	Proto-Germanic	*brūdiz	*brūdiz	bruːdiz	b r uː d i z	82	b r uː d i z
294	German	*brūdiz	Braut	braut	b r au t	82	b r au t - -
295	English	*brūdiz	bride	braɪd	b r aɪ d	82	b r aɪ d - -
296	Dutch	*brūdiz	bruid	brœyt	b r œy t	82	b r œy t - -
#
1133	Proto-Germanic	*brūkanan	*brūkanan	bruːkanan	b r uː k a n a n	311	- - b r uː k a n a n
1134	German	*brūkanan	brauchen	brauxən	b r au x ə n	311	- - b r au x ə - - n
1135	English	*brūkanan	brook	brʊk	b r ʊ k	311	- - b r ʊ k - - - -
1136	Dutch	*brūkanan	gebruiken	xəbrœykə	x ə b r œy k ə	311	x ə b r œy k ə - - -
#
815	Proto-Germanic	*budmaz	*budmaz	budmaz	b u d m a z	224	b u d m a z
816	German	*budmaz	Boden	boːdən	b oː d ə n	224	b oː d - ə n
817	English	*budmaz	bottom	bɔtəm	b ɔ t ə m	224	b ɔ t - ə m
818	Dutch	*budmaz	bodem	boːdəm	b oː d ə m	224	b oː d - ə m
#
1417	Proto-Germanic	*bugōn	*bugōn	bugoːn	b u g oː n	388	b u g oː n
1418	German	*bugōn	Bogen	boːɡən	b oː ɡ ə n	388	b oː ɡ ə n
1419	English	*bugōn	bow	bəʊ	b əʊ	388	b əʊ - - -
1420	Dutch	*bugōn	boog	boːx	b oː x	388	b oː x - -
#
31	Proto-Germanic	*bukkaz	*bukkaz	bukkaz	b u kk a z	9	b u kk a z
32	German	*bukkaz	Bock	bɔk	b ɔ k	9	b ɔ k - -
33	English	*bukkaz	buck	bʌk	b ʌ k	9	b ʌ k - -
34	Dutch	*bukkaz	bok	bɔk	b ɔ k	9	b ɔ k - -
#
1299	Proto-Germanic	*burdan	*burdan	burdan	b u r d a n	357	b u r d a n
1300	German	*burdan	Bord	bɔrt	b ɔ r t	357	b ɔ r t - -
1301	English	*burdan	board	bɔːd	b ɔː d	357	b ɔː - d - -
1302	Dutch	*burdan	bord	bɔrt	b ɔ r t	357	b ɔ r t - -
#
387	Proto-Germanic	*burdiz	*burdiz	burdiz	b u r d i z	107	- - b u r d i z
388	German	*burdiz	Geburt	ɡəbuːrt	ɡ ə b uː r t	107	ɡ ə b uː r t - -
389	English	*burdiz	birth	bɜːθ	b ɜː θ	107	- - b ɜː - θ - -
390	Dutch	*burdiz	geboorte	xəboːrtə	x ə b oː r t ə	107	x ə b oː r t ə -
#
379	Proto-Germanic	*burōjanan	*burōjanan	buroːjanan	b u r oː j a n a n	105	b u r oː j a n a n
380	German	*burōjanan	bohren	boːrən	b oː r ə n	105	b oː r ə - - - - n
381	English	*burōjanan	bore	bɔːr	b ɔː r	105	b ɔː r - - - - - -
382	Dutch	*burōjanan	boren	boːrə	b oː r ə	105	b oː r ə - - - - -
#
638	Proto-Germanic	*bō	*bō	boː	b oː	176	b oː - -
639	German	*bō	beide	baidə	b ai d ə	176	b ai d ə
640	English	*bō	both	bəʊθ	b əʊ θ	176	b əʊ θ -
641	Dutch	*bō	beide	bɛɪdə	b ɛɪ d ə	176	b ɛɪ d ə
#
222	Proto-Germanic	*bōguz	*bōguz	boːguz	b oː g u z	62	b oː g u z
223	German	*bōguz	Bug	buːk	b uː k	62	b uː k - -
224	English	*bōguz	bough	baʊ	b aʊ	62	b aʊ - - -
#
934	Proto-Germanic	*bōkz	*bōkz	boːkz	b oː k z	257	b oː k z
935	German	*bōkz	Buch	buːx	b uː x	257	b uː x -
936	English	*bōkz	book	bʊk	b ʊ k	257	b ʊ k -
937	Dutch	*bōkz	boek	buːk	b uː k	257	b uː k -
#
1862	Proto-Germanic	*bōkō	*bōkō	boːkoː	b oː k oː	511	b oː k oː - - -
1863	German	*bōkō	Buche	buːxə	b uː x ə	511	b uː x ə - - -
1864	English	*bōkō	beech	biːʧ	b iː ʧ	511	b iː ʧ - - - -
1865	Dutch	*bōkō	beukeboom	bøːkəboːm	b øː k ə b oː m	511	b øː k ə b oː m
#
23	Proto-Germanic	*bōsmaz	*bōsmaz	boːsmaz	b oː s m a z	7	b oː s m a z
24	German	*bōsmaz	Busen	buːzən	b uː z ə n	7	b uː z - ə n
25	English	*bōsmaz	bosom	bʊzəm	b ʊ z ə m	7	b ʊ z - ə m
26	Dutch	*bōsmaz	boezem	buːzəm	b uː z ə m	7	b uː z - ə m
#
1030	Proto-Germanic	*būran	*būran	buːran	b uː r a n	283	b uː r a n
1031	German	*būran	Bauer	bauər	b auə r	283	b auə r - -
1032	English	*būran	bower	baʊər	b aʊə r	283	b aʊə r - -
1033	Dutch	*būran	boer	buːr	b uː r	283	b uː r - -
#
780	Proto-Germanic	*dagaz	*dagaz	dagaz	d a g a z	214	d a g a z
781	German	*dagaz	Tag	taːk	t aː k	214	t aː k - -
782	English	*dagaz	day	deɪ	d eɪ	214	d eɪ - - -
783	Dutch	*dagaz	dag	dɑx	d ɑ x	214	d ɑ x - -
#
761	Proto-Germanic	*daigaz	*daigaz	daigaz	d ai g a z	209	d ai g a z
762	German	*daigaz	Teig	taik	t ai k	209	t ai k - -
763	English	*daigaz	dough	dəʊ	d əʊ	209	d əʊ - - -
764	Dutch	*daigaz	deeg	deːx	d eː x	209	d eː x - -
#
1082	Proto-Germanic	*dailiz	*dailiz	dailiz	d ai l i z	297	d ai l i z
1083	German	*dailiz	Teil	tail	t ai l	297	t ai l - -
1084	English	*dailiz	deal	diːl	d iː l	297	d iː l - -
1085	Dutch	*dailiz	deel	deːl	d eː l	297	d eː l - -
#
1181	Proto-Germanic	*dalaz	*dalaz	dalaz	d a l a z	324	d a l a z
1182	German	*dalaz	Tal	taːl	t aː l	324	t aː l - -
1183	English	*dalaz	dale	deɪl	d eɪ l	324	d eɪ l - -
1184	Dutch	*dalaz	dal	dɑl	d ɑ l	324	d ɑ l - -
#
473	Proto-Germanic	*dampaz	*dampaz	dampaz	d a m p a z	130	d a m p a z
474	German	*dampaz	Dampf	damp͡f	d a m p͡f	130	d a m p͡f - -
475	Dutch	*dampaz	damp	dɑmp	d ɑ m p	130	d ɑ m p - -
#
1307	Proto-Germanic	*daupjanan	*daupjanan	daupjanan	d au p j a n a n	359	d au p j a n a n
1308	German	*daupjanan	taufen	taufən	t au f ə n	359	t au f - - - ə n
1309	Dutch	*daupjanan	dopen	doːpə	d oː p ə	359	d oː p - - - ə -
#
1517	Proto-Germanic	*dawwō	*dawwō	dawwoː	d a ww oː	416	d - a ww oː
1518	German	*dawwō	Tau	tau	t au	416	t - au - -
1519	English	*dawwō	dew	djuː	d j uː	416	d j uː - -
1520	Dutch	*dawwō	dauw	dɑuʋ	d ɑu ʋ	416	d - ɑu ʋ -
#
893	Proto-Germanic	*deljaz	*deljaz	deljaz	d e l j a z	246	d e l j a z
894	German	*deljaz	Dill	dɪl	d ɪ l	246	d ɪ l - - -
895	English	*deljaz	dill	dɪl	d ɪ l	246	d ɪ l - - -
896	Dutch	*deljaz	dille	dɪlə	d ɪ l ə	246	d ɪ l - ə -
#
406	Proto-Germanic	*deuzan	*deuzan	deuzan	d eu z a n	112	d eu z a n
407	German	*deuzan	Tier	tiːr	t iː r	112	t iː r - -
408	English	*deuzan	deer	dɪər	d ɪə r	112	d ɪə r - -
409	Dutch	*deuzan	dier	diːr	d iː r	112	d iː r - -
#
741	Proto-Germanic	*drankan	*drankan	drankan	d r a n k a n	204	d r a n k a n
742	German	*drankan	Trank	traŋk	t r a ŋ k	204	t r a ŋ k - -
743	English	*drankan	drench	drɛnʧ	d r ɛ n ʧ	204	d r ɛ n ʧ - -
744	Dutch	*drankan	drank	drɑŋk	d r ɑ ŋ k	204	d r ɑ ŋ k - -
#
395	Proto-Germanic	*draumaz	*draumaz	draumaz	d r au m a z	109	d r au m a z
396	German	*draumaz	Traum	traum	t r au m	109	t r au m - -
397	English	*draumaz	dream	driːm	d r iː m	109	d r iː m - -
398	Dutch	*draumaz	droom	droːm	d r oː m	109	d r oː m - -
#
19	Proto-Germanic	*drenkanan	*drenkanan	drenkanan	d r e n k a n a n	6	d r e n k a n a n
20	German	*drenkanan	trinken	trɪŋkən	t r ɪ ŋ k ə n	6	t r ɪ ŋ k ə - - n
21	English	*drenkanan	drink	drɪŋk	d r ɪ ŋ k	6	d r ɪ ŋ k - - - -
22	Dutch	*drenkanan	drinken	drɪŋkə	d r ɪ ŋ k ə	6	d r ɪ ŋ k ə - - -
#
882	Proto-Germanic	*dreupanan	*dreupanan	dreupanan	d r eu p a n a n	243	d r eu p a n a n
883	German	*dreupanan	triefen	triːfən	t r iː f ə n	243	t r iː f ə - - n
884	Dutch	*dreupanan	druipen	drœypə	d r œy p ə	243	d r œy p ə - - -
#
1240	Proto-Germanic	*drībanan	*drībanan	driːbanan	d r iː b a n a n	341	d r iː b a n a n
1241	German	*drībanan	treiben	traibən	t r ai b ə n	341	t r ai b ə - - n
1242	English	*drībanan	drive	draɪv	d r aɪ v	341	d r aɪ v - - - -
1243	Dutch	*drībanan	drijven	drɛɪvə	d r ɛɪ v ə	341	d r ɛɪ v ə - - -
#
1237	Proto-Germanic	*dugunθiz	*dugunθiz	dugunθiz	d u g u n θ i z	340	d u g u n θ i z
1238	German	*dugunθiz	Tugend	tuːɡənt	t uː ɡ ə n t	340	t uː ɡ ə n t - -
1239	Dutch	*dugunθiz	deugd	døːxt	d øː x t	340	d øː x - - t - -
#
101	Proto-Germanic	*duran	*duran	duran	d u r a n	29	d u r a n
102	German	*duran	Tor	toːr	t oː r	29	t oː r - -
103	English	*duran	door	dɔːr	d ɔː r	29	d ɔː r - -
#
577	Proto-Germanic	*dēdiz	*dēdiz	deːdiz	d eː d i z	159	d eː d i z
578	German	*dēdiz	Tat	taːt	t aː t	159	t aː t - -
579	English	*dēdiz	deed	diːd	d iː d	159	d iː d - -
580	Dutch	*dēdiz	daad	daːt	d aː t	159	d aː t - -
#
1581	Proto-Germanic	*dōnan	*dōnan	doːnan	d oː n a n	434	d oː n a n
1582	German	*dōnan	tun	tuːn	t uː n	434	t uː - - n
1583	English	*dōnan	do	duː	d uː	434	d uː - - -
1584	Dutch	*dōnan	doen	duːn	d uː n	434	d uː - - n
#
54	Proto-Germanic	*dūbōn	*dūbōn	duːboːn	d uː b oː n	16	d uː b oː n
55	German	*dūbōn	Taube	taubə	t au b ə	16	t au b ə -
56	English	*dūbōn	dove	dʌv	d ʌ v	16	d ʌ v - -
57	Dutch	*dūbōn	dove	doːvə	d oː v ə	16	d oː v ə -
#
601	Proto-Germanic	*end	*end	end	e n d	166	- e n d
602	German	*end	ein	ain	ai n	166	- ai n -
603	English	*end	one	ʋʌn	ʋ ʌ n	166	ʋ ʌ n -
604	Dutch	*end	een	eːn	eː n	166	- eː n -
#
1345	Proto-Germanic	*eni	*eni	eni	e n i	369	- e n i
1346	German	*eni	Matte	matə	m a t ə	369	m a t ə
1347	English	*eni	meadow	mɛdəʊ	m ɛ d əʊ	369	m ɛ d əʊ
#
86	Proto-Germanic	*erθo	*erθo	erθo	e r θ o	25	e r θ o
87	German	*erθo	Erde	eːrdə	eː r d ə	25	eː r d ə
88	English	*erθo	earth	ɜːθ	ɜː θ	25	ɜː - θ -
89	Dutch	*erθo	aarde	aːrdə	aː r d ə	25	aː r d ə
#
1330	Proto-Germanic	*etanan	*etanan	etanan	e t a n a n	365	e t a n a n
1331	German	*etanan	essen	ɛsən	ɛ s ə n	365	ɛ s ə - - n
1332	English	*etanan	eat	iːt	iː t	365	iː t - - - -
1333	Dutch	*etanan	eten	eːtə	eː t ə	365	eː t ə - - -
#
909	Proto-Germanic	*fadēr	*fadēr	fadeːr	f a d eː r	250	f a d eː r
910	German	*fadēr	Vater	faːtər	f aː t ə r	250	f aː t ə r
911	English	*fadēr	father	fɑːðər	f ɑː ð ə r	250	f ɑː ð ə r
912	Dutch	*fadēr	vader	vaːdər	v aː d ə r	250	v aː d ə r
#
247	Proto-Germanic	*fallanan	*fallanan	fallanan	f a ll a n a n	69	f a ll a n a n
248	German	*fallanan	fallen	falən	f a l ə n	69	f a l ə - - n
249	English	*fallanan	fall	fɔːl	f ɔː l	69	f ɔː l - - - -
250	Dutch	*fallanan	vallen	vɑlə	v ɑ l ə	69	v ɑ l ə - - -
#
442	Proto-Germanic	*falθanan	*falθanan	falθanan	f a l θ a n a n	122	f a l θ a n a n
443	German	*falθanan	falten	faltən	f a l t ə n	122	f a l t ə - - n
444	English	*falθanan	fold	fəʊld	f əʊ l d	122	f əʊ l d - - - -
445	Dutch	*falθanan	vouw	vɑuʋ	v ɑu ʋ	122	v ɑu ʋ - - - - -
#
1839	Proto-Germanic	*fanxanan	*fanxanan	fanxanan	f a n x a n a n	504	f a n x a n a n
1840	German	*fanxanan	fangen	faŋən	f a ŋ ə n	504	f a - - - ŋ ə n
1841	Dutch	*fanxanan	vangen	vɑŋə	v ɑ ŋ ə	504	v ɑ - - - ŋ ə -
#
202	Proto-Germanic	*faranan	*faranan	faranan	f a r a n a n	57	f a r a n a n
203	German	*faranan	fahren	faːrən	f aː r ə n	57	f aː r ə - - n
204	English	*faranan	fare	fɛər	f ɛə r	57	f ɛə r - - - -
205	Dutch	*faranan	varen	vaːrə	v aː r ə	57	v aː r ə - - -
#
461	Proto-Germanic	*farnan	*farnan	farnan	f a r n a n	127	f a r n a n
462	German	*farnan	Farn	farn	f a r n	127	f a r - - n
463	English	*farnan	fern	fɜːn	f ɜː n	127	f ɜː - - - n
464	Dutch	*farnan	varen	vaːrə	v aː r ə	127	v aː r - ə -
#
1314	Proto-Germanic	*fastēnan	*fastēnan	fasteːnan	f a s t eː n a n	361	f a s t eː n a n
1315	German	*fastēnan	fasten	fastən	f a s t ə n	361	f a s t ə - - n
1316	English	*fastēnan	fast	fɑːst	f ɑː s t	361	f ɑː s t - - - -
1317	Dutch	*fastēnan	vasten	vɑstə	v ɑ s t ə	361	v ɑ s t ə - - -
#
360	Proto-Germanic	*fedwōrez	*fedwōrez	fedwoːrez	f e d w oː r e z	100	f e d w oː r e z
361	German	*fedwōrez	vier	fiːr	f iː r	100	f iː - - - r - -
362	English	*fedwōrez	four	fɔːr	f ɔː r	100	f ɔː - - - r - -
363	Dutch	*fedwōrez	vier	viːr	v iː r	100	v iː - - - r - -
#
1798	Proto-Germanic	*fellan	*fellan	fellan	f e ll a n	493	f e ll a n
1799	German	*fellan	Fell	fɛl	f ɛ l	493	f ɛ l - -
1800	English	*fellan	fell	fɛl	f ɛ l	493	f ɛ l - -
1801	Dutch	*fellan	vel	vɛl	v ɛ l	493	v ɛ l - -
#
1209	Proto-Germanic	*felxanan	*felxanan	felxanan	f e l x a n a n	332	f e l x a n a n
1210	German	*felxanan	Felge	fɛlɡə	f ɛ l ɡ ə	332	f ɛ l ɡ ə - - -
1211	Dutch	*felxanan	velg	vɛlx	v ɛ l x	332	v ɛ l x - - - -
#
697	Proto-Germanic	*felθuz	*felθuz	felθuz	f e l θ u z	192	f e l θ u z
698	German	*felθuz	Feld	fɛlt	f ɛ l t	192	f ɛ l t - -
699	English	*felθuz	field	fiːld	f iː l d	192	f iː l d - -
700	Dutch	*felθuz	veld	vɛlt	v ɛ l t	192	v ɛ l t - -
#
1699	Proto-Germanic	*fengraz	*fengraz	fengraz	f e n g r a z	466	f e n g r a z
1700	German	*fengraz	Finger	fɪŋər	f ɪ ŋ ə r	466	f ɪ ŋ - - ə r
1701	English	*fengraz	finger	fɪŋɡər	f ɪ ŋ ɡ ə r	466	f ɪ ŋ ɡ - ə r
1702	Dutch	*fengraz	vinger	vɪŋər	v ɪ ŋ ə r	466	v ɪ ŋ - - ə r
#
1759	Proto-Germanic	*fenθanan	*fenθanan	fenθanan	f e n θ a n a n	482	f e n θ a n a n
1760	German	*fenθanan	finden	fɪndən	f ɪ n d ə n	482	f ɪ n d ə - - n
1761	English	*fenθanan	find	faɪnd	f aɪ n d	482	f aɪ n d - - - -
1762	Dutch	*fenθanan	vinden	vɪndə	v ɪ n d ə	482	v ɪ n d ə - - -
#
157	Proto-Germanic	*fextanan	*fextanan	fextanan	f e x t a n a n	45	f e x t a n a n
158	German	*fextanan	fechten	fɛxtən	f ɛ x t ə n	45	f ɛ x t ə - - n
159	English	*fextanan	fight	faɪt	f aɪ t	45	f aɪ - t - - - -
160	Dutch	*fextanan	vechten	vɛxtə	v ɛ x t ə	45	v ɛ x t ə - - -
#
115	Proto-Germanic	*fexu	*fexu	fexu	f e x u	33	f e x u
116	German	*fexu	Vieh	viː	v iː	33	v iː - -
117	English	*fexu	fee	fiː	f iː	33	f iː - -
118	Dutch	*fexu	vee	veː	v eː	33	v eː - -
#
1259	Proto-Germanic	*fiskaz	*fiskaz	fiskaz	f i s k a z	346	f i s k a z
1260	German	*fiskaz	Fisch	fɪʃ	f ɪ ʃ	346	f ɪ ʃ - - -
1261	English	*fiskaz	fish	fɪʃ	f ɪ ʃ	346	f ɪ ʃ - - -
1262	Dutch	*fiskaz	vis	vɪs	v ɪ s	346	v ɪ s - - -
#
1026	Proto-Germanic	*flaiskaz	*flaiskaz	flaiskaz	f l ai s k a z	282	f l ai s k a z
