# Wordlist

# META
@tree:((((German,'Yiddish_New_York'),Dutch),((English,Scottish),'West_Frisian_Grou')),((('Norwegian_Stavanger',Danish),('Swedish_Skane','Swedish_Stockholm')),(Faroese,Icelandic)));

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PROTO	PROTO_SHORT	CONSENSUS	ALIGNMENT
69	Swedish_Stockholm	all	ɑ.l	ɑ l	6	allaz	all	aɫ	- ɑ l - -
70	West_Frisian_Grou	all	ɒ.ɫ	ɒ ɫ	6	allaz	all	aɫ	- ɒ ɫ - -
71	Yiddish_New_York	all	ʔ.a.ɫ	ʔ a ɫ	6	allaz	all	aɫ	ʔ a ɫ - -
#
809	Danish	ash	ʔ.ɛ.s.k.ə	ʔ ɛ s k ə	70	askoːn	ask	askə	ʔ ɛ - s k ə
810	Dutch	ash	ɑ.s	ɑ s	70	askoːn	ask	askə	- ɑ - s - -
811	English	ash	æ.ʃ	æ ʃ	70	askoːn	ask	askə	- æ - ʃ - -
812	Faroese	ash	œ.s.k.a	œ s k a	70	askoːn	ask	askə	- œ - s k a
813	German	ash	ʔ.a.ʃ.ə	ʔ a ʃ ə	70	askoːn	ask	askə	ʔ a - ʃ - ə
814	Icelandic	ash	a.s.k.a	a s k a	70	askoːn	ask	askə	- a - s k a
815	Norwegian_Stavanger	ash	a.sː.k.ə	a sː k ə	70	askoːn	ask	askə	- a - sː k ə
816	Scottish	ash	a.ʃ	a ʃ	70	askoːn	ask	askə	- a - ʃ - -
817	Swedish_Skane	ash	a.s.k.ə	a s k ə	70	askoːn	ask	askə	- a - s k ə
818	Swedish_Stockholm	ash	a.sː.k.ə	a sː k ə	70	askoːn	ask	askə	- a - sː k ə
819	West_Frisian_Grou	ash	j.ɪ.s.k.ə	j ɪ s k ə	70	askoːn	ask	askə	j ɪ - s k ə
820	Yiddish_New_York	ash	ʔ.a.ʃ	ʔ a ʃ	70	askoːn	ask	askə	ʔ a - ʃ - -
#
845	Danish	bath	b.ɛ.lˀ	b ɛ lˀ	73	baθan	baθ	baːt	b ɛ lˀ
846	Dutch	bath	b.ɑ.t	b ɑ t	73	baθan	baθ	baːt	b ɑ t
847	English	bath	b.ɑː.θ	b ɑː θ	73	baθan	baθ	baːt	b ɑː θ
848	Faroese	bath	b.ea	b ea	73	baθan	baθ	baːt	b ea -
849	German	bath	b.aː.t	b aː t	73	baθan	baθ	baːt	b aː t
850	Icelandic	bath	b.aː.θ	b aː θ	73	baθan	baθ	baːt	b aː θ
851	Norwegian_Stavanger	bath	b.aɑ.t	b aɑ t	73	baθan	baθ	baːt	b aɑ t
852	Scottish	bath	b.a.θ	b a θ	73	baθan	baθ	baːt	b a θ
853	Swedish_Skane	bath	b.ɒɔ.d	b ɒɔ d	73	baθan	baθ	baːt	b ɒɔ d
854	Swedish_Stockholm	bath	b.ɒː.d	b ɒː d	73	baθan	baθ	baːt	b ɒː d
855	West_Frisian_Grou	bath	b.a.t	b a t	73	baθan	baθ	baːt	b a t
856	Yiddish_New_York	bath	b.ɔ.d	b ɔ d	73	baθan	baθ	baːt	b ɔ d
#
156	Danish	better	b.ɪ.ð.ə.ʁ.ʌ	b ɪ ð ə ʁ ʌ	14	batizoːn	batiz	bɛtɾ	b ɪ ð ə ʁ ʌ
157	Dutch	better	b.ɛɪ.tʰ.ɹ	b ɛɪ tʰ ɹ	14	batizoːn	batiz	bɛtɾ	b ɛɪ tʰ - ɹ -
158	English	better	b.ɛ.t.ə	b ɛ t ə	14	batizoːn	batiz	bɛtɾ	b ɛ t ə - -
159	Faroese	better	b.eə.tʰ.ɹ.ə	b eə tʰ ɹ ə	14	batizoːn	batiz	bɛtɾ	b eə tʰ - ɹ ə
160	German	better	b.ɛ.s.ɐ	b ɛ s ɐ	14	batizoːn	batiz	bɛtɾ	b ɛ s ɐ - -
161	Icelandic	better	b.eə.t.ɾ.ɪ	b eə t ɾ ɪ	14	batizoːn	batiz	bɛtɾ	b eə t - ɾ ɪ
162	Norwegian_Stavanger	better	b.eə.ʁ.ə	b eə ʁ ə	14	batizoːn	batiz	bɛtɾ	b eə - - ʁ ə
163	Scottish	better	b.ɛ.tʰ.ə.ɹ	b ɛ tʰ ə ɹ	14	batizoːn	batiz	bɛtɾ	b ɛ tʰ ə ɹ -
164	Swedish_Skane	better	b.ɛ.t.χ	b ɛ t χ	14	batizoːn	batiz	bɛtɾ	b ɛ t - χ -
165	Swedish_Stockholm	better	b.ɛ.tː.ɾ.ə	b ɛ tː ɾ ə	14	batizoːn	batiz	bɛtɾ	b ɛ tː - ɾ ə
166	West_Frisian_Grou	better	b.ɛ.t.r	b ɛ t r	14	batizoːn	batiz	bɛtɾ	b ɛ t - r -
167	Yiddish_New_York	better	b.ɛ.s.ɛ.ɾ	b ɛ s ɛ ɾ	14	batizoːn	batiz	bɛtɾ	b ɛ s ɛ ɾ -
#
857	Danish	bite!	b.ɪ.lˀ	b ɪ lˀ	74	biːt	biːt	baɪt	b ɪ lˀ -
858	Dutch	bite!	b.æɪ.t	b æɪ t	74	biːt	biːt	baɪt	b æɪ t -
859	English	bite!	b.aɪ.tʰ	b aɪ tʰ	74	biːt	biːt	baɪt	b aɪ tʰ -
860	Faroese	bite!	b.ʊi.t	b ʊi t	74	biːt	biːt	baɪt	b ʊi t -
861	German	bite!	b.aɪ.s	b aɪ s	74	biːt	biːt	baɪt	b aɪ s -
862	Icelandic	bite!	b.iː.tʰ.a	b iː tʰ a	74	biːt	biːt	baɪt	b iː tʰ a
863	Norwegian_Stavanger	bite!	b.iː.t	b iː t	74	biːt	biːt	baɪt	b iː t -
864	Scottish	bite!	b.ʌi.tʰ	b ʌi tʰ	74	biːt	biːt	baɪt	b ʌi tʰ -
865	Swedish_Skane	bite!	b.ɪi.tʰ	b ɪi tʰ	74	biːt	biːt	baɪt	b ɪi tʰ -
866	Swedish_Stockholm	bite!	b.iː.t	b iː t	74	biːt	biːt	baɪt	b iː t -
867	West_Frisian_Grou	bite!	b.i.t	b i t	74	biːt	biːt	baɪt	b i t -
868	Yiddish_New_York	bite!	b.aɪ.s	b aɪ s	74	biːt	biːt	baɪt	b aɪ s -
#
356	Danish	blood	b.l.ʊ.ðˀ	b l ʊ ðˀ	31	bloːdan	bloːd	bloːt	b - l ʊ ðˀ
357	Dutch	blood	b.l.ø.t	b l ø t	31	bloːdan	bloːd	bloːt	b - l ø t
358	English	blood	b.l.ɐ.d	b l ɐ d	31	bloːdan	bloːd	bloːt	b - l ɐ d
359	Faroese	blood	b.l.ɒu	b l ɒu	31	bloːdan	bloːd	bloːt	b - l ɒu -
360	German	blood	b.l.uː.t	b l uː t	31	bloːdan	bloːd	bloːt	b - l uː t
361	Icelandic	blood	b.l.ɔu.θ	b l ɔu θ	31	bloːdan	bloːd	bloːt	b - l ɔu θ
362	Norwegian_Stavanger	blood	b.l.oː	b l oː	31	bloːdan	bloːd	bloːt	b - l oː -
363	Scottish	blood	b.l.ʌ.d	b l ʌ d	31	bloːdan	bloːd	bloːt	b - l ʌ d
364	Swedish_Skane	blood	b.l.øʉ	b l øʉ	31	bloːdan	bloːd	bloːt	b - l øʉ -
365	Swedish_Stockholm	blood	b.ə.l.oː.d	b ə l oː d	31	bloːdan	bloːd	bloːt	b ə l oː d
366	West_Frisian_Grou	blood	b.ɫ.oə.t	b ɫ oə t	31	bloːdan	bloːd	bloːt	b - ɫ oə t
367	Yiddish_New_York	blood	b.l.u.t	b l u t	31	bloːdan	bloːd	bloːt	b - l u t
#
869	Danish	bone	b.i.nˀ	b i nˀ	75	bainan	bain	bɛɪn	b i nˀ - -
870	Dutch	bone	b.ɛɪ.n	b ɛɪ n	75	bainan	bain	bɛɪn	b ɛɪ n - -
871	English	bone	b.əʊ.n	b əʊ n	75	bainan	bain	bɛɪn	b əʊ n - -
872	Faroese	bone	b.ai.n	b ai n	75	bainan	bain	bɛɪn	b ai n - -
873	German	bone	b.aɪ.n	b aɪ n	75	bainan	bain	bɛɪn	b aɪ n - -
874	Icelandic	bone	b.ɛɪ.n	b ɛɪ n	75	bainan	bain	bɛɪn	b ɛɪ n - -
875	Norwegian_Stavanger	bone	b.ɛi.n	b ɛi n	75	bainan	bain	bɛɪn	b ɛi n - -
876	Scottish	bone	b.oə.n	b oə n	75	bainan	bain	bɛɪn	b oə n - -
877	Swedish_Skane	bone	b.aɪ.n	b aɪ n	75	bainan	bain	bɛɪn	b aɪ n - -
878	Swedish_Stockholm	bone	b.eə.n	b eə n	75	bainan	bain	bɛɪn	b eə n - -
879	West_Frisian_Grou	bone	b.iə.n	b iə n	75	bainan	bain	bɛɪn	b iə n - -
880	Yiddish_New_York	bone	b.ɛɪ.n	b ɛɪ n	75	bainan	bain	bɛɪn	b ɛɪ n - -
#
637	Danish	brother	b.ʁ.u.ð.ɔ	b ʁ u ð ɔ	55	broːθeːr	broːθeːr	bʁoː	b - ʁ u ð ɔ -
638	Dutch	brother	b.ʁ.uə.ʁ	b ʁ uə ʁ	55	broːθeːr	broːθeːr	bʁoː	b - ʁ uə - - ʁ
639	English	brother	b.ɹ.ɐ.ð.ə	b ɹ ɐ ð ə	55	broːθeːr	broːθeːr	bʁoː	b - ɹ ɐ ð ə -
640	Faroese	brother	b.ɾ.ɒ.w.ə.ɹ	b ɾ ɒ w ə ɹ	55	broːθeːr	broːθeːr	bʁoː	b - ɾ ɒ w ə ɹ
641	German	brother	b.ʁ.uː.d.ɐ	b ʁ uː d ɐ	55	broːθeːr	broːθeːr	bʁoː	b - ʁ uː d ɐ -
642	Icelandic	brother	b.ɾ.oː.ð.ɪ.s	b ɾ oː ð ɪ s	55	broːθeːr	broːθeːr	bʁoː	b - ɾ oː ð ɪ s
643	Norwegian_Stavanger	brother	b.ʁ.oː.χ	b ʁ oː χ	55	broːθeːr	broːθeːr	bʁoː	b - ʁ oː χ - -
644	Scottish	brother	b.ɹ.ʌ.ð.ə.ɹ	b ɹ ʌ ð ə ɹ	55	broːθeːr	broːθeːr	bʁoː	b - ɹ ʌ ð ə ɹ
645	Swedish_Skane	brother	b.ʁ.øʉ.ʁ	b ʁ øʉ ʁ	55	broːθeːr	broːθeːr	bʁoː	b - ʁ øʉ - - ʁ
646	Swedish_Stockholm	brother	b.ə.r.uː.r	b ə r uː r	55	broːθeːr	broːθeːr	bʁoː	b ə r uː - - r
647	West_Frisian_Grou	brother	b.ɾ.oə.r	b ɾ oə r	55	broːθeːr	broːθeːr	bʁoː	b - ɾ oə - - r
648	Yiddish_New_York	brother	b.ɾ.u.d.ɛ.ɾ	b ɾ u d ɛ ɾ	55	broːθeːr	broːθeːr	bʁoː	b - ɾ u d ɛ ɾ
#
1061	Danish	calf	kʰ.ɛ.lˀ.f	kʰ ɛ lˀ f	92	kalbaz	kalb	kʰalf	kʰ ɛ lˀ - f
1062	Dutch	calf	k.ɑ.ɫ.f	k ɑ ɫ f	92	kalbaz	kalb	kʰalf	k ɑ ɫ - f
1063	English	calf	kʰ.ɑː.f	kʰ ɑː f	92	kalbaz	kalb	kʰalf	kʰ ɑː - - f
1064	Faroese	calf	kʰ.ɔ.l.ə.v	kʰ ɔ l ə v	92	kalbaz	kalb	kʰalf	kʰ ɔ l ə v
1065	German	calf	kʰ.a.l.p	kʰ a l p	92	kalbaz	kalb	kʰalf	kʰ a l - p
1066	Icelandic	calf	kʰ.a.l.f	kʰ a l f	92	kalbaz	kalb	kʰalf	kʰ a l - f
1067	Norwegian_Stavanger	calf	kʰ.a.l.f	kʰ a l f	92	kalbaz	kalb	kʰalf	kʰ a l - f
1068	Scottish	calf	kʰ.aː.f	kʰ aː f	92	kalbaz	kalb	kʰalf	kʰ aː - - f
1069	Swedish_Skane	calf	kʰ.aː.b	kʰ aː b	92	kalbaz	kalb	kʰalf	kʰ aː - - b
1070	Swedish_Stockholm	calf	kʰ.aː.l.ə.v	kʰ aː l ə v	92	kalbaz	kalb	kʰalf	kʰ aː l ə v
1071	West_Frisian_Grou	calf	k.ɪiə.ɫ	k ɪiə ɫ	92	kalbaz	kalb	kʰalf	k ɪiə ɫ - -
1072	Yiddish_New_York	calf	kʰ.a.ɫ.b	kʰ a ɫ b	92	kalbaz	kalb	kʰalf	kʰ a ɫ - b
#
929	Danish	cold	kʰ.ɔ.lˀ	kʰ ɔ lˀ	80	kaldaz	kald	kʰalt	kʰ ɔ lˀ - - -
930	Dutch	cold	k.aʊ.t	k aʊ t	80	kaldaz	kald	kʰalt	k aʊ - t - -
931	English	cold	kʰ.əʊ.ɫ.d	kʰ əʊ ɫ d	80	kaldaz	kald	kʰalt	kʰ əʊ ɫ d - -
932	Faroese	cold	kʰ.a.l.t.ʌ.ɹ	kʰ a l t ʌ ɹ	80	kaldaz	kald	kʰalt	kʰ a l t ʌ ɹ
933	German	cold	kʰ.a.l.t	kʰ a l t	80	kaldaz	kald	kʰalt	kʰ a l t - -
934	Icelandic	cold	kʰ.a.ɮ.d	kʰ a ɮ d	80	kaldaz	kald	kʰalt	kʰ a ɮ d - -
935	Norwegian_Stavanger	cold	kʰ.a.l.t	kʰ a l t	80	kaldaz	kald	kʰalt	kʰ a l t - -
936	Scottish	cold	kʰ.oː.ɫ.d	kʰ oː ɫ d	80	kaldaz	kald	kʰalt	kʰ oː ɫ d - -
937	Swedish_Skane	cold	kʰ.o.l	kʰ o l	80	kaldaz	kald	kʰalt	kʰ o l - - -
938	Swedish_Stockholm	cold	kʰ.a.l	kʰ a l	80	kaldaz	kald	kʰalt	kʰ a l - - -
939	West_Frisian_Grou	cold	k.ɔː.t	k ɔː t	80	kaldaz	kald	kʰalt	k ɔː - t - -
940	Yiddish_New_York	cold	kʰ.aʊ.t	kʰ aʊ t	80	kaldaz	kald	kʰalt	kʰ aʊ - t - -
#
72	Danish	corn	kʰ.oə.n	kʰ oə n	7	kurnan	kurn	kʰɔn	kʰ oə - - n
73	Dutch	corn	k.o.ʁ.ə	k o ʁ ə	7	kurnan	kurn	kʰɔn	k o ʁ ə -
74	English	corn	kʰ.ɔː.n	kʰ ɔː n	7	kurnan	kurn	kʰɔn	kʰ ɔː - - n
75	Faroese	corn	kʰ.ɔ.n̥	kʰ ɔ n̥	7	kurnan	kurn	kʰɔn	kʰ ɔ - - n̥
76	German	corn	kʰ.ɔː.n	kʰ ɔː n	7	kurnan	kurn	kʰɔn	kʰ ɔː - - n
77	Icelandic	corn	kʰ.ɔ.r.n̥	kʰ ɔ r n̥	7	kurnan	kurn	kʰɔn	kʰ ɔ r - n̥
78	Norwegian_Stavanger	corn	kʰ.o.ʁ.n	kʰ o ʁ n	7	kurnan	kurn	kʰɔn	kʰ o ʁ - n
79	Scottish	corn	kʰ.ɔ.ɹ.n	kʰ ɔ ɹ n	7	kurnan	kurn	kʰɔn	kʰ ɔ ɹ - n
80	Swedish_Skane	corn	kʰ.ʊ.ʁ.n	kʰ ʊ ʁ n	7	kurnan	kurn	kʰɔn	kʰ ʊ ʁ - n
81	Swedish_Stockholm	corn	kʰ.oː.n	kʰ oː n	7	kurnan	kurn	kʰɔn	kʰ oː - - n
82	West_Frisian_Grou	corn	k.õə̃.n	k õə̃ n	7	kurnan	kurn	kʰɔn	k õə̃ - - n
83	Yiddish_New_York	corn	kʰ.ɔ.ɾ.n	kʰ ɔ ɾ n	7	kurnan	kurn	kʰɔn	kʰ ɔ ɾ - n
#
881	Danish	cow	kʰ.uˀ	kʰ uˀ	76	koːwz	koːwz	kʰuː	kʰ uˀ - -
882	Dutch	cow	k.u	k u	76	koːwz	koːwz	kʰuː	k u - -
883	English	cow	kʰ.aʊ	kʰ aʊ	76	koːwz	koːwz	kʰuː	kʰ aʊ - -
884	Faroese	cow	kʰ.e.k.f	kʰ e k f	76	koːwz	koːwz	kʰuː	kʰ e k f
885	German	cow	kʰ.uː	kʰ uː	76	koːwz	koːwz	kʰuː	kʰ uː - -
886	Icelandic	cow	kʰ.uː	kʰ uː	76	koːwz	koːwz	kʰuː	kʰ uː - -
887	Norwegian_Stavanger	cow	kʰ.yː	kʰ yː	76	koːwz	koːwz	kʰuː	kʰ yː - -
888	Scottish	cow	kʰ.ɐʊ	kʰ ɐʊ	76	koːwz	koːwz	kʰuː	kʰ ɐʊ - -
889	Swedish_Skane	cow	kʰ.ʏʉ	kʰ ʏʉ	76	koːwz	koːwz	kʰuː	kʰ ʏʉ - -
890	Swedish_Stockholm	cow	kʰ.ʊo	kʰ ʊo	76	koːwz	koːwz	kʰuː	kʰ ʊo - -
891	West_Frisian_Grou	cow	k.ɒʊ	k ɒʊ	76	koːwz	koːwz	kʰuː	k ɒʊ - -
892	Yiddish_New_York	cow	kʰ.uː	kʰ uː	76	koːwz	koːwz	kʰuː	kʰ uː - -
#
965	Danish	daughter	d.ɛ.ɾ.ʌ	d ɛ ɾ ʌ	83	duxteːr	duxteːr	dɔtə	d ɛ - ɾ ʌ -
966	Dutch	daughter	d.ɔ.χ.t.ə.ɹ	d ɔ χ t ə ɹ	83	duxteːr	duxteːr	dɔtə	d ɔ χ t ə ɹ
967	English	daughter	d.ɔ.t.ə	d ɔ t ə	83	duxteːr	duxteːr	dɔtə	d ɔ - t ə -
968	Faroese	daughter	d.ɔʰ.tː.ə.ɹ	d ɔʰ tː ə ɹ	83	duxteːr	duxteːr	dɔtə	d ɔʰ - tː ə ɹ
969	German	daughter	t.ɒ.χ.t.ɐ	t ɒ χ t ɐ	83	duxteːr	duxteːr	dɔtə	t ɒ χ t ɐ -
970	Icelandic	daughter	d.ɔ.tʰ.ɪ.z	d ɔ tʰ ɪ z	83	duxteːr	duxteːr	dɔtə	d ɔ - tʰ ɪ z
971	Norwegian_Stavanger	daughter	d.a.tʰ.ə.ʁ	d a tʰ ə ʁ	83	duxteːr	duxteːr	dɔtə	d a - tʰ ə ʁ
972	Scottish	daughter	d.ɔ.tʰ.ə.ɹ	d ɔ tʰ ə ɹ	83	duxteːr	duxteːr	dɔtə	d ɔ - tʰ ə ɹ
973	Swedish_Skane	daughter	d.o.t.ʁ	d o t ʁ	83	duxteːr	duxteːr	dɔtə	d o - t - ʁ
974	Swedish_Stockholm	daughter	d.ɔ.tː.ɛ.ɾ	d ɔ tː ɛ ɾ	83	duxteːr	duxteːr	dɔtə	d ɔ - tː ɛ ɾ
975	West_Frisian_Grou	daughter	d.ɒ.χ.t.ə.r	d ɒ χ t ə r	83	duxteːr	duxteːr	dɔtə	d ɒ χ t ə r
976	Yiddish_New_York	daughter	tʰ.ɔ.χ.t.ɛ.ɾ	tʰ ɔ χ t ɛ ɾ	83	duxteːr	duxteːr	dɔtə	tʰ ɔ χ t ɛ ɾ
#
416	Danish	day	d.ɛɪˀ	d ɛɪˀ	36	daɡaz	daɡ	daː	d ɛɪˀ -
417	Dutch	day	d.ɑ.χ	d ɑ χ	36	daɡaz	daɡ	daː	d ɑ χ
418	English	day	d.eɪ	d eɪ	36	daɡaz	daɡ	daː	d eɪ -
419	Faroese	day	d.ɛa	d ɛa	36	daɡaz	daɡ	daː	d ɛa -
420	German	day	tʰ.aː.k	tʰ aː k	36	daɡaz	daɡ	daː	tʰ aː k
421	Icelandic	day	d.aː.x	d aː x	36	daɡaz	daɡ	daː	d aː x
422	Norwegian_Stavanger	day	d.aɑ.k	d aɑ k	36	daɡaz	daɡ	daː	d aɑ k
423	Scottish	day	d.eː	d eː	36	daɡaz	daɡ	daː	d eː -
424	Swedish_Skane	day	d.ɒʊ	d ɒʊ	36	daɡaz	daɡ	daː	d ɒʊ -
425	Swedish_Stockholm	day	d.ɔː.ɡ	d ɔː ɡ	36	daɡaz	daɡ	daː	d ɔː ɡ
426	West_Frisian_Grou	day	d.ɒɪ	d ɒɪ	36	daɡaz	daɡ	daː	d ɒɪ -
427	Yiddish_New_York	day	tʰ.ɔ.ɡ	tʰ ɔ ɡ	36	daɡaz	daɡ	daː	tʰ ɔ ɡ
#
1	Danish	drink!	d.ʁ.ɛ.kʰ	d ʁ ɛ kʰ	1	drenk	drenk	dʁɪkʰ	d ʁ ɛ - kʰ -
2	Dutch	drink!	d.ʁ.ɪ.ŋ.k	d ʁ ɪ ŋ k	1	drenk	drenk	dʁɪkʰ	d ʁ ɪ ŋ k -
3	English	drink!	d.ɹ.ɪ.ŋ.kʰ	d ɹ ɪ ŋ kʰ	1	drenk	drenk	dʁɪkʰ	d ɹ ɪ ŋ kʰ -
4	Faroese	drink!	d.ɾ.ɛ.kːʰ	d ɾ ɛ kːʰ	1	drenk	drenk	dʁɪkʰ	d ɾ ɛ - kːʰ -
5	German	drink!	tʰ.ʁ.ɪ.ŋ.k	tʰ ʁ ɪ ŋ k	1	drenk	drenk	dʁɪkʰ	tʰ ʁ ɪ ŋ k -
6	Icelandic	drink!	d.ɾ.ɛ.kʰ.a	d ɾ ɛ kʰ a	1	drenk	drenk	dʁɪkʰ	d ɾ ɛ - kʰ a
7	Norwegian_Stavanger	drink!	d.ʁ.ɪ.kːʰ	d ʁ ɪ kːʰ	1	drenk	drenk	dʁɪkʰ	d ʁ ɪ - kːʰ -
8	Scottish	drink!	d.ɹ.ɪ.ŋ.kʰ	d ɹ ɪ ŋ kʰ	1	drenk	drenk	dʁɪkʰ	d ɹ ɪ ŋ kʰ -
9	Swedish_Skane	drink!	d.ʁ.ɪ.kʰ	d ʁ ɪ kʰ	1	drenk	drenk	dʁɪkʰ	d ʁ ɪ - kʰ -
10	Swedish_Stockholm	drink!	d.ɾ.ɪ.kː	d ɾ ɪ kː	1	drenk	drenk	dʁɪkʰ	d ɾ ɪ - kː -
11	West_Frisian_Grou	drink!	d.ɾ.ɪ.ŋ.k	d ɾ ɪ ŋ k	1	drenk	drenk	dʁɪkʰ	d ɾ ɪ ŋ k -
12	Yiddish_New_York	drink!	tʰ.ʁ.ɪ.ŋ.k	tʰ ʁ ɪ ŋ k	1	drenk	drenk	dʁɪkʰ	tʰ ʁ ɪ ŋ k -
#
120	Danish	ear	ʔ.yɔ	ʔ yɔ	11	auzoːn	auz	iə	ʔ yɔ - -
121	Dutch	ear	oə.ɹ	oə ɹ	11	auzoːn	auz	iə	- oə ɹ -
122	English	ear	ɪə	ɪə	11	auzoːn	auz	iə	- ɪə - -
123	Faroese	ear	ɔɪ.ɹ.a	ɔɪ ɹ a	11	auzoːn	auz	iə	- ɔɪ ɹ a
124	German	ear	ʔ.oɐ	ʔ oɐ	11	auzoːn	auz	iə	ʔ oɐ - -
125	Icelandic	ear	ɛɪ.r.a	ɛɪ r a	11	auzoːn	auz	iə	- ɛɪ r a
126	Norwegian_Stavanger	ear	øː.ʁ.ə	øː ʁ ə	11	auzoːn	auz	iə	- øː ʁ ə
127	Scottish	ear	iə.ɹ	iə ɹ	11	auzoːn	auz	iə	- iə ɹ -
128	Swedish_Skane	ear	œː.ʁ.ɐ	œː ʁ ɐ	11	auzoːn	auz	iə	- œː ʁ ɐ
129	Swedish_Stockholm	ear	ɔː.ɾ.ə	ɔː ɾ ə	11	auzoːn	auz	iə	- ɔː ɾ ə
130	West_Frisian_Grou	ear	iə.r	iə r	11	auzoːn	auz	iə	- iə r -
131	Yiddish_New_York	ear	ʔ.ɔɪɛ.ɾ	ʔ ɔɪɛ ɾ	11	auzoːn	auz	iə	ʔ ɔɪɛ ɾ -
#
238	Danish	earth	j.oɔ	j oɔ	21	erθoː	erθoː	joːd	j oɔ - - -
239	Dutch	earth	a.ɹ.d.ə	a ɹ d ə	21	erθoː	erθoː	joːd	- a ɹ d ə
240	English	earth	ɜː.θ	ɜː θ	21	erθoː	erθoː	joːd	- ɜː - θ -
241	Faroese	earth	j.øː.ɹ	j øː ɹ	21	erθoː	erθoː	joːd	j øː ɹ - -
242	German	earth	ʔ.ɛɐ.d.ə	ʔ ɛɐ d ə	21	erθoː	erθoː	joːd	ʔ ɛɐ - d ə
243	Icelandic	earth	j.œ.r.θ	j œ r θ	21	erθoː	erθoː	joːd	j œ r θ -
244	Norwegian_Stavanger	earth	j.oː.χ	j oː χ	21	erθoː	erθoː	joːd	j oː χ - -
245	Scottish	earth	ɛ.ɹ.θ	ɛ ɹ θ	21	erθoː	erθoː	joːd	- ɛ ɹ θ -
246	Swedish_Skane	earth	j.ʉ.ʁ	j ʉ ʁ	21	erθoː	erθoː	joːd	j ʉ ʁ - -
247	Swedish_Stockholm	earth	ʝ.oː.d	ʝ oː d	21	erθoː	erθoː	joːd	ʝ oː - d -
248	West_Frisian_Grou	earth	iə.d.ə	iə d ə	21	erθoː	erθoː	joːd	- iə - d ə
249	Yiddish_New_York	earth	ʔ.ɛ.ɾ.d	ʔ ɛ ɾ d	21	erθoː	erθoː	joːd	ʔ ɛ ɾ d -
#
108	Danish	eat!	ʔ.ɪ.lˀ	ʔ ɪ lˀ	10	et	et	it	ʔ ɪ lˀ -
109	Dutch	eat!	ɛɪ.t	ɛɪ t	10	et	et	it	- ɛɪ t -
110	English	eat!	i.tʰ	i tʰ	10	et	et	it	- i tʰ -
111	Faroese	eat!	iɪ.t	iɪ t	10	et	et	it	- iɪ t -
112	German	eat!	ʔ.ɛ.s	ʔ ɛ s	10	et	et	it	ʔ ɛ s -
113	Icelandic	eat!	j.ɪɛ.tʰ.a	j ɪɛ tʰ a	10	et	et	it	j ɪɛ tʰ a
114	Norwegian_Stavanger	eat!	eə.t	eə t	10	et	et	it	- eə t -
115	Scottish	eat!	i.tʰ	i tʰ	10	et	et	it	- i tʰ -
116	Swedish_Skane	eat!	eə.tʰ	eə tʰ	10	et	et	it	- eə tʰ -
