# Wordlist

# DATA
ID	CONCEPT	TOKENS	IPA	DOCULECT	COUNTERPART	COGID
1534	*berganan	b ɛ r ɣ ə	bɛrɣə	Dutch	bergen	420
#
543	*beudanan	b eu d a n	beudanan	Proto-Germanic	*beudanan	149
544	*beudanan	b iː t ə n	biːtən	German	bieten	149
545	*beudanan	b ɪ d	bɪd	English	bid	149
546	*beudanan	b iː d ə	biːdə	Dutch	bieden	149
#
927	*beuganan	b eu g a n	beuganan	Proto-Germanic	*beuganan	255
928	*beuganan	b iː ɡ ə n	biːɡən	German	biegen	255
929	*beuganan	b əʊ	bəʊ	English	bow	255
930	*beuganan	b œy ɣ ə	bœyɣə	Dutch	buigen	255
#
1450	*bidjanan	b i d j a n	bidjanan	Proto-Germanic	*bidjanan	397
1451	*bidjanan	b ɪ t ə n	bɪtən	German	bitten	397
1452	*bidjanan	b ɪ d	bɪd	English	bid	397
1453	*bidjanan	b ɪ d ə	bɪdə	Dutch	bidden	397
#
108	*bladan	b l a d	bladan	Proto-Germanic	*bladan	31
109	*bladan	b l a t	blat	German	Blatt	31
110	*bladan	b l ɑ t	blɑt	Dutch	blad	31
#
931	*blikan	b l i k	blikan	Proto-Germanic	*blikan	256
932	*blikan	b l ɛ x	blɛx	German	Blech	256
933	*blikan	b l ɪ k	blɪk	Dutch	blik	256
#
853	*blōdan	b l oː d	bloːdan	Proto-Germanic	*blōdan	235
854	*blōdan	b l uː t	bluːt	German	Blut	235
855	*blōdan	b l ʌ d	blʌd	English	blood	235
856	*blōdan	b l uː t	bluːt	Dutch	bloed	235
#
795	*brandaz	b r a n d a z	brandaz	Proto-Germanic	*brandaz	218
796	*brandaz	b r a n t	brant	German	Brand	218
797	*brandaz	b r æ n d	brænd	English	brand	218
798	*brandaz	b r ɑ n t	brɑnt	Dutch	brand	218
#
1155	*braudan	b r au d	braudan	Proto-Germanic	*braudan	317
1156	*braudan	b r oː t	broːt	German	Brot	317
1157	*braudan	b r ɛ d	brɛd	English	bread	317
1158	*braudan	b r oː t	broːt	Dutch	brood	317
#
500	*brekanan	b r e k a n	brekanan	Proto-Germanic	*brekanan	137
501	*brekanan	b r ɛ x ə n	brɛxən	German	brechen	137
502	*brekanan	b r eɪ k	breɪk	English	break	137
503	*brekanan	b r eː k ə	breːkə	Dutch	breken	137
1513	*brekanan	b r e k a n	brekanan	Proto-Germanic	*brekanan	415
1514	*brekanan	b r ʊ x	brʊx	German	Bruch	415
1515	*brekanan	b r ɪ ʧ ɪ z	brɪʧɪz	English	breeches	415
1516	*brekanan	b r uː k	bruːk	Dutch	broek	415
#
1649	*brenganan	b r e n g a n	brenganan	Proto-Germanic	*brenganan	453
1650	*brenganan	b r ɪ ŋ ə n	brɪŋən	German	bringen	453
1651	*brenganan	b r ɪ ŋ	brɪŋ	English	bring	453
1652	*brenganan	b r ɛ ŋ ə	brɛŋə	Dutch	brengen	453
#
1751	*brestanan	b r e s t a n	brestanan	Proto-Germanic	*brestanan	480
1752	*brestanan	b ɛ r s t ə n	bɛrstən	German	bersten	480
1753	*brestanan	b ɜː s t	bɜːst	English	burst	480
1754	*brestanan	b ɑ r s t ə	bɑrstə	Dutch	barsten	480
#
154	*brunnōn	b r u nn oː n	brunnoːn	Proto-Germanic	*brunnōn	44
155	*brunnōn	b r ʊ n ə n	brʊnən	German	Brunnen	44
156	*brunnōn	b r ɔ n	brɔn	Dutch	bron	44
#
1770	*brustz	b r u s t z	brustz	Proto-Germanic	*brustz	485
1771	*brustz	b r ʊ s t	brʊst	German	Brust	485
1772	*brustz	b r ɛ s t	brɛst	English	breast	485
1773	*brustz	b ɔ r s t	bɔrst	Dutch	borst	485
#
293	*brūdiz	b r uː d i z	bruːdiz	Proto-Germanic	*brūdiz	82
294	*brūdiz	b r au t	braut	German	Braut	82
295	*brūdiz	b r aɪ d	braɪd	English	bride	82
296	*brūdiz	b r œy t	brœyt	Dutch	bruid	82
#
1133	*brūkanan	b r uː k a n	bruːkanan	Proto-Germanic	*brūkanan	311
1134	*brūkanan	b r au x ə n	brauxən	German	brauchen	311
1135	*brūkanan	b r ʊ k	brʊk	English	brook	311
1136	*brūkanan	x ə b r œy k ə	xəbrœykə	Dutch	gebruiken	311
#
815	*budmaz	b u d m a z	budmaz	Proto-Germanic	*budmaz	224
816	*budmaz	b oː d ə n	boːdən	German	Boden	224
817	*budmaz	b ɔ t ə m	bɔtəm	English	bottom	224
818	*budmaz	b oː d ə m	boːdəm	Dutch	bodem	224
#
1417	*bugōn	b u g oː n	bugoːn	Proto-Germanic	*bugōn	388
1418	*bugōn	b oː ɡ ə n	boːɡən	German	Bogen	388
1419	*bugōn	b əʊ	bəʊ	English	bow	388
1420	*bugōn	b oː x	boːx	Dutch	boog	388
#
31	*bukkaz	b u kk a z	bukkaz	Proto-Germanic	*bukkaz	9
32	*bukkaz	b ɔ k	bɔk	German	Bock	9
33	*bukkaz	b ʌ k	bʌk	English	buck	9
34	*bukkaz	b ɔ k	bɔk	Dutch	bok	9
#
1299	*burdan	b u r d	burdan	Proto-Germanic	*burdan	357
1300	*burdan	b ɔ r t	bɔrt	German	Bord	357
1301	*burdan	b ɔː d	bɔːd	English	board	357
1302	*burdan	b ɔ r t	bɔrt	Dutch	bord	357
#
387	*burdiz	b u r d i z	burdiz	Proto-Germanic	*burdiz	107
388	*burdiz	ɡ ə b uː r t	ɡəbuːrt	German	Geburt	107
389	*burdiz	b ɜː θ	bɜːθ	English	birth	107
390	*burdiz	x ə b oː r t ə	xəboːrtə	Dutch	geboorte	107
#
379	*burōjanan	b u r oː j a n	buroːjanan	Proto-Germanic	*burōjanan	105
380	*burōjanan	b oː r ə n	boːrən	German	bohren	105
381	*burōjanan	b ɔː r	bɔːr	English	bore	105
382	*burōjanan	b oː r ə	boːrə	Dutch	boren	105
#
638	*bō	b oː	boː	Proto-Germanic	*bō	176
639	*bō	b ai d ə	baidə	German	beide	176
640	*bō	b əʊ θ	bəʊθ	English	both	176
641	*bō	b ɛɪ d ə	bɛɪdə	Dutch	beide	176
#
222	*bōguz	b oː g u z	boːguz	Proto-Germanic	*bōguz	62
223	*bōguz	b uː k	buːk	German	Bug	62
224	*bōguz	b aʊ	baʊ	English	bough	62
#
934	*bōkz	b oː k z	boːkz	Proto-Germanic	*bōkz	257
935	*bōkz	b uː x	buːx	German	Buch	257
936	*bōkz	b ʊ k	bʊk	English	book	257
937	*bōkz	b uː k	buːk	Dutch	boek	257
#
1862	*bōkō	b oː k oː	boːkoː	Proto-Germanic	*bōkō	511
1863	*bōkō	b uː x ə	buːxə	German	Buche	511
1864	*bōkō	b iː ʧ	biːʧ	English	beech	511
1865	*bōkō	b øː k ə b oː m	bøːkəboːm	Dutch	beukeboom	511
#
23	*bōsmaz	b oː s m a z	boːsmaz	Proto-Germanic	*bōsmaz	7
24	*bōsmaz	b uː z ə n	buːzən	German	Busen	7
25	*bōsmaz	b ʊ z ə m	bʊzəm	English	bosom	7
26	*bōsmaz	b uː z ə m	buːzəm	Dutch	boezem	7
#
1030	*būran	b uː r	buːran	Proto-Germanic	*būran	283
1031	*būran	b auə r	bauər	German	Bauer	283
1032	*būran	b aʊə r	baʊər	English	bower	283
1033	*būran	b uː r	buːr	Dutch	boer	283
#
780	*dagaz	d a g a z	dagaz	Proto-Germanic	*dagaz	214
781	*dagaz	t aː k	taːk	German	Tag	214
782	*dagaz	d eɪ	deɪ	English	day	214
783	*dagaz	d ɑ x	dɑx	Dutch	dag	214
#
761	*daigaz	d ai g a z	daigaz	Proto-Germanic	*daigaz	209
762	*daigaz	t ai k	taik	German	Teig	209
763	*daigaz	d əʊ	dəʊ	English	dough	209
764	*daigaz	d eː x	deːx	Dutch	deeg	209
#
1082	*dailiz	d ai l i z	dailiz	Proto-Germanic	*dailiz	297
1083	*dailiz	t ai l	tail	German	Teil	297
1084	*dailiz	d iː l	diːl	English	deal	297
1085	*dailiz	d eː l	deːl	Dutch	deel	297
#
1181	*dalaz	d a l a z	dalaz	Proto-Germanic	*dalaz	324
1182	*dalaz	t aː l	taːl	German	Tal	324
1183	*dalaz	d eɪ l	deɪl	English	dale	324
1184	*dalaz	d ɑ l	dɑl	Dutch	dal	324
#
473	*dampaz	d a m p a z	dampaz	Proto-Germanic	*dampaz	130
474	*dampaz	d a m p͡f	damp͡f	German	Dampf	130
475	*dampaz	d ɑ m p	dɑmp	Dutch	damp	130
#
1307	*daupjanan	d au p j a n	daupjanan	Proto-Germanic	*daupjanan	359
1308	*daupjanan	t au f ə n	taufən	German	taufen	359
1309	*daupjanan	d oː p ə	doːpə	Dutch	dopen	359
#
1517	*dawwō	d a ww oː	dawwoː	Proto-Germanic	*dawwō	416
1518	*dawwō	t au	tau	German	Tau	416
1519	*dawwō	d j uː	djuː	English	dew	416
1520	*dawwō	d ɑu ʋ	dɑuʋ	Dutch	dauw	416
#
893	*deljaz	d e l j a z	deljaz	Proto-Germanic	*deljaz	246
894	*deljaz	d ɪ l	dɪl	German	Dill	246
895	*deljaz	d ɪ l	dɪl	English	dill	246
896	*deljaz	d ɪ l ə	dɪlə	Dutch	dille	246
#
406	*deuzan	d eu z	deuzan	Proto-Germanic	*deuzan	112
407	*deuzan	t iː r	tiːr	German	Tier	112
408	*deuzan	d ɪə r	dɪər	English	deer	112
409	*deuzan	d iː r	diːr	Dutch	dier	112
#
741	*drankan	d r a n k	drankan	Proto-Germanic	*drankan	204
742	*drankan	t r a ŋ k	traŋk	German	Trank	204
743	*drankan	d r ɛ n ʧ	drɛnʧ	English	drench	204
744	*drankan	d r ɑ ŋ k	drɑŋk	Dutch	drank	204
#
395	*draumaz	d r au m a z	draumaz	Proto-Germanic	*draumaz	109
396	*draumaz	t r au m	traum	German	Traum	109
397	*draumaz	d r iː m	driːm	English	dream	109
398	*draumaz	d r oː m	droːm	Dutch	droom	109
#
19	*drenkanan	d r e n k a n	drenkanan	Proto-Germanic	*drenkanan	6
20	*drenkanan	t r ɪ ŋ k ə n	trɪŋkən	German	trinken	6
21	*drenkanan	d r ɪ ŋ k	drɪŋk	English	drink	6
22	*drenkanan	d r ɪ ŋ k ə	drɪŋkə	Dutch	drinken	6
#
882	*dreupanan	d r eu p a n	dreupanan	Proto-Germanic	*dreupanan	243
883	*dreupanan	t r iː f ə n	triːfən	German	triefen	243
884	*dreupanan	d r œy p ə	drœypə	Dutch	druipen	243
#
1240	*drībanan	d r iː b a n	driːbanan	Proto-Germanic	*drībanan	341
1241	*drībanan	t r ai b ə n	traibən	German	treiben	341
1242	*drībanan	d r aɪ v	draɪv	English	drive	341
1243	*drībanan	d r ɛɪ v ə	drɛɪvə	Dutch	drijven	341
#
1237	*dugunθiz	d u g u n θ i z	dugunθiz	Proto-Germanic	*dugunθiz	340
1238	*dugunθiz	t uː ɡ ə n t	tuːɡənt	German	Tugend	340
1239	*dugunθiz	d øː x t	døːxt	Dutch	deugd	340
#
101	*duran	d u r	duran	Proto-Germanic	*duran	29
102	*duran	t oː r	toːr	German	Tor	29
103	*duran	d ɔː r	dɔːr	English	door	29
#
577	*dēdiz	d eː d i z	deːdiz	Proto-Germanic	*dēdiz	159
578	*dēdiz	t aː t	taːt	German	Tat	159
579	*dēdiz	d iː d	diːd	English	deed	159
580	*dēdiz	d aː t	daːt	Dutch	daad	159
#
1581	*dōnan	d oː n	doːnan	Proto-Germanic	*dōnan	434
1582	*dōnan	t uː n	tuːn	German	tun	434
1583	*dōnan	d uː	duː	English	do	434
1584	*dōnan	d uː n	duːn	Dutch	doen	434
#
54	*dūbōn	d uː b oː n	duːboːn	Proto-Germanic	*dūbōn	16
55	*dūbōn	t au b ə	taubə	German	Taube	16
56	*dūbōn	d ʌ v	dʌv	English	dove	16
57	*dūbōn	d oː v ə	doːvə	Dutch	dove	16
#
601	*end	e n d	end	Proto-Germanic	*end	166
602	*end	ai n	ain	German	ein	166
603	*end	ʋ ʌ n	ʋʌn	English	one	166
604	*end	eː n	eːn	Dutch	een	166
#
1345	*eni	e n i	eni	Proto-Germanic	*eni	369
1346	*eni	m a t ə	matə	German	Matte	369
1347	*eni	m ɛ d əʊ	mɛdəʊ	English	meadow	369
#
86	*erθo	e r θ o	erθo	Proto-Germanic	*erθo	25
87	*erθo	eː r d ə	eːrdə	German	Erde	25
88	*erθo	ɜː θ	ɜːθ	English	earth	25
89	*erθo	aː r d ə	aːrdə	Dutch	aarde	25
#
1330	*etanan	e t a n	etanan	Proto-Germanic	*etanan	365
1331	*etanan	ɛ s ə n	ɛsən	German	essen	365
1332	*etanan	iː t	iːt	English	eat	365
1333	*etanan	eː t ə	eːtə	Dutch	eten	365
#
909	*fadēr	f a d eː r	fadeːr	Proto-Germanic	*fadēr	250
910	*fadēr	f aː t ə r	faːtər	German	Vater	250
911	*fadēr	f ɑː ð ə r	fɑːðər	English	father	250
912	*fadēr	v aː d ə r	vaːdər	Dutch	vader	250
#
247	*fallanan	f a ll a n	fallanan	Proto-Germanic	*fallanan	69
248	*fallanan	f a l ə n	falən	German	fallen	69
249	*fallanan	f ɔː l	fɔːl	English	fall	69
250	*fallanan	v ɑ l ə	vɑlə	Dutch	vallen	69
#
442	*falθanan	f a l θ a n	falθanan	Proto-Germanic	*falθanan	122
443	*falθanan	f a l t ə n	faltən	German	falten	122
444	*falθanan	f əʊ l d	fəʊld	English	fold	122
445	*falθanan	v ɑu ʋ	vɑuʋ	Dutch	vouw	122
#
1839	*fanxanan	f a n x a n	fanxanan	Proto-Germanic	*fanxanan	504
1840	*fanxanan	f a ŋ ə n	faŋən	German	fangen	504
1841	*fanxanan	v ɑ ŋ ə	vɑŋə	Dutch	vangen	504
#
202	*faranan	f a r a n	faranan	Proto-Germanic	*faranan	57
203	*faranan	f aː r ə n	faːrən	German	fahren	57
204	*faranan	f ɛə r	fɛər	English	fare	57
205	*faranan	v aː r ə	vaːrə	Dutch	varen	57
#
461	*farnan	f a r n	farnan	Proto-Germanic	*farnan	127
462	*farnan	f a r n	farn	German	Farn	127
463	*farnan	f ɜː n	fɜːn	English	fern	127
464	*farnan	v aː r ə	vaːrə	Dutch	varen	127
#
1314	*fastēnan	f a s t eː n	fasteːnan	Proto-Germanic	*fastēnan	361
1315	*fastēnan	f a s t ə n	fastən	German	fasten	361
1316	*fastēnan	f ɑː s t	fɑːst	English	fast	361
1317	*fastēnan	v ɑ s t ə	vɑstə	Dutch	vasten	361
#
360	*fedwōrez	f e d w oː r e z	fedwoːrez	Proto-Germanic	*fedwōrez	100
361	*fedwōrez	f iː r	fiːr	German	vier	100
362	*fedwōrez	f ɔː r	fɔːr	English	four	100
363	*fedwōrez	v iː r	viːr	Dutch	vier	100
#
1798	*fellan	f e ll	fellan	Proto-Germanic	*fellan	493
1799	*fellan	f ɛ l	fɛl	German	Fell	493
1800	*fellan	f ɛ l	fɛl	English	fell	493
1801	*fellan	v ɛ l	vɛl	Dutch	vel	493
#
1209	*felxanan	f e l x a n	felxanan	Proto-Germanic	*felxanan	332
1210	*felxanan	f ɛ l ɡ ə	fɛlɡə	German	Felge	332
1211	*felxanan	v ɛ l x	vɛlx	Dutch	velg	332
#
697	*felθuz	f e l θ u z	felθuz	Proto-Germanic	*felθuz	192
698	*felθuz	f ɛ l t	fɛlt	German	Feld	192
699	*felθuz	f iː l d	fiːld	English	field	192
700	*felθuz	v ɛ l t	vɛlt	Dutch	veld	192
#
1699	*fengraz	f e n g r a z	fengraz	Proto-Germanic	*fengraz	466
1700	*fengraz	f ɪ ŋ ə r	fɪŋər	German	Finger	466
1701	*fengraz	f ɪ ŋ ɡ ə r	fɪŋɡər	English	finger	466
1702	*fengraz	v ɪ ŋ ə r	vɪŋər	Dutch	vinger	466
#
1759	*fenθanan	f e n θ a n	fenθanan	Proto-Germanic	*fenθanan	482
1760	*fenθanan	f ɪ n d ə n	fɪndən	German	finden	482
1761	*fenθanan	f aɪ n d	faɪnd	English	find	482
1762	*fenθanan	v ɪ n d ə	vɪndə	Dutch	vinden	482
#
157	*fextanan	f e x t a n	fextanan	Proto-Germanic	*fextanan	45
158	*fextanan	f ɛ x t ə n	fɛxtən	German	fechten	45
159	*fextanan	f aɪ t	faɪt	English	fight	45
160	*fextanan	v ɛ x t ə	vɛxtə	Dutch	vechten	45
#
115	*fexu	f e x u	fexu	Proto-Germanic	*fexu	33
116	*fexu	v iː	viː	German	Vieh	33
117	*fexu	f iː	fiː	English	fee	33
118	*fexu	v eː	veː	Dutch	vee	33
#
1259	*fiskaz	f i s k a z	fiskaz	Proto-Germanic	*fiskaz	346
1260	*fiskaz	f ɪ ʃ	fɪʃ	German	Fisch	346
1261	*fiskaz	f ɪ ʃ	fɪʃ	English	fish	346
1262	*fiskaz	v ɪ s	vɪs	Dutch	vis	346
#
1026	*flaiskaz	f l ai s k a z	flaiskaz	Proto-Germanic	*flaiskaz	282
1027	*flaiskaz	f l ai ʃ	flaiʃ	German	Fleisch	282
1028	*flaiskaz	f l ɛ ʃ	flɛʃ	English	flesh	282
1029	*flaiskaz	v l eː s	vleːs	Dutch	vlees	282
#
48	*flaskō	f l a s k oː	flaskoː	Proto-Germanic	*flaskō	14
49	*flaskō	f l a ʃ ə	flaʃə	German	Flasche	14
50	*flaskō	f l ɑː s k	flɑːsk	English	flask	14
#
970	*flauxz	f l au x z	flauxz	Proto-Germanic	*flauxz	267
971	*flauxz	f l oː	floː	German	Floh	267
972	*flauxz	f l iː	fliː	English	flea	267
973	*flauxz	v l oː	vloː	Dutch	vlo	267
#
1808	*flaxsan	f l a x s	flaxsan	Proto-Germanic	*flaxsan	496
1809	*flaxsan	f l a k s	flaks	German	Flachs	496
1810	*flaxsan	f l æ k s	flæks	English	flax	496
1811	*flaxsan	v l ɑ s	vlɑs	Dutch	vlas	496
#
1107	*fleuganan	f l eu g a n	fleuganan	Proto-Germanic	*fleuganan	304
1108	*fleuganan	f l iː ɡ ə n	fliːɡən	German	fliegen	304
1109	*fleuganan	f l aɪ	flaɪ	English	fly	304
1110	*fleuganan	v l iː ɣ ə	vliːɣə	Dutch	vliegen	304
#
1225	*fleuxanan	f l eu x a n	fleuxanan	Proto-Germanic	*fleuxanan	337
1226	*fleuxanan	f l iːə n	fliːən	German	fliehen	337
1227	*fleuxanan	f l iː	fliː	English	flee	337
1228	*fleuxanan	v l iː d ə	vliːdə	Dutch	vlieden	337
#
1642	*flextanan	f l e x t a n	flextanan	Proto-Germanic	*flextanan	451
1643	*flextanan	f l ɛ x t ə n	flɛxtən	German	flechten	451
1644	*flextanan	v l ɛ x t ə	vlɛxtə	Dutch	vlechten	451
#
1409	*flōduz	f l oː d u z	floːduz	Proto-Germanic	*flōduz	386
1410	*flōduz	f l uː t	fluːt	German	Flut	386
1411	*flōduz	f l ʌ d	flʌd	English	flood	386
1412	*flōduz	v l uː t	vluːt	Dutch	vloed	386
#
923	*freusanan	f r eu s a n	freusanan	Proto-Germanic	*freusanan	254
924	*freusanan	f r iː r ə n	friːrən	German	frieren	254
925	*freusanan	f r iː z	friːz	English	freeze	254
926	*freusanan	v r iː z ə	vriːzə	Dutch	vriezen	254
#
1689	*frijōndz	f r i j oː n d z	frijoːndz	Proto-Germanic	*frijōndz	463
1690	*frijōndz	f r ɔy n t	frɔynt	German	Freund	463
1691	*frijōndz	f r ɛ n d	frɛnd	English	friend	463
1692	*frijōndz	v r iː n t	vriːnt	Dutch	vriend	463
#
453	*frustan	f r u s t	frustan	Proto-Germanic	*frustan	125
454	*frustan	f r ɔ s t	frɔst	German	Frost	125
455	*frustan	f r ɔ s t	frɔst	English	frost	125
456	*frustan	v ɔ r s t	vɔrst	Dutch	vorst	125
#
1831	*fuglaz	f u g l a z	fuglaz	Proto-Germanic	*fuglaz	502
1832	*fuglaz	f oː ɡ ə l	foːɡəl	German	Vogel	502
1833	*fuglaz	f aʊ l	faʊl	English	fowl	502
1834	*fuglaz	v oː ɣ ə l	voːɣəl	Dutch	vogel	502
#
1884	*fulgēnan	f u l g eː n	fulgeːnan	Proto-Germanic	*fulgēnan	517
1885	*fulgēnan	f ɔ l ɡ ə n	fɔlɡən	German	folgen	517
1886	*fulgēnan	f ɔ l əʊ	fɔləʊ	English	follow	517
1887	*fulgēnan	v ɔ l ɣ ə	vɔlɣə	Dutch	volgen	517
#
776	*fulkan	f u l k	fulkan	Proto-Germanic	*fulkan	213
777	*fulkan	f ɔ l k	fɔlk	German	Volk	213
778	*fulkan	f əʊ k	fəʊk	English	folk	213
779	*fulkan	v ɔ l k	vɔlk	Dutch	volk	213
#
1447	*fulōn	f u l oː n	fuloːn	Proto-Germanic	*fulōn	396
1448	*fulōn	f oː l ə n	foːlən	German	Fohlen	396
1449	*fulōn	f əʊ l	fəʊl	English	foal	396
#
1827	*funxwstiz	f u n x w s t i z	funxwstiz	Proto-Germanic	*funxwstiz	501
1828	*funxwstiz	f au s t	faust	German	Faust	501
1829	*funxwstiz	f ɪ s t	fɪst	English	fist	501
1830	*funxwstiz	v œy s t	vœyst	Dutch	vuist	501
#
1480	*furxtīn	f u r x t iː n	furxtiːn	Proto-Germanic	*furxtīn	406
1481	*furxtīn	f ʊ r x t	fʊrxt	German	Furcht	406
1482	*furxtīn	f r aɪ t	fraɪt	English	fright	406
#
953	*furxō	f u r x oː	furxoː	Proto-Germanic	*furxō	262
954	*furxō	f ʊ r x ə	fʊrxə	German	Furche	262
955	*furxō	f ʌ r əʊ	fʌrəʊ	English	furrow	262
956	*furxō	v oː r	voːr	Dutch	voor	262
#
1585	*fuwer	f u w e r	fuwer	Proto-Germanic	*fuwer	435
1586	*fuwer	f ɔyə r	fɔyər	German	Feuer	435
1587	*fuwer	f aɪə r	faɪər	English	fire	435
1588	*fuwer	v yː r	vyːr	Dutch	vuur	435
#
339	*fuxsaz	f u x s a z	fuxsaz	Proto-Germanic	*fuxsaz	94
340	*fuxsaz	f ʊ k s	fʊks	German	Fuchs	94
341	*fuxsaz	f ɔ k s	fɔks	English	fox	94
342	*fuxsaz	v ɔ s	vɔs	Dutch	vos	94
#
885	*fōdran	f oː d r	foːdran	Proto-Germanic	*fōdran	244
886	*fōdran	f ʊ t ə r	fʊtər	German	Futter	244
887	*fōdran	f ɔ d ə r	fɔdər	English	fodder	244
888	*fōdran	v uː r	vuːr	Dutch	voer	244
#
16	*gaistaz	g ai s t a z	gaistaz	Proto-Germanic	*gaistaz	5
17	*gaistaz	ɡ ai s t	ɡaist	German	Geist	5
18	*gaistaz	ɡ əʊ s t	ɡəʊst	English	ghost	5
#
745	*gallan	g a ll	gallan	Proto-Germanic	*gallan	205
746	*gallan	ɡ a l ə	ɡalə	German	Galle	205
747	*gallan	ɡ ɔː l	ɡɔːl	English	gall	205
748	*gallan	x ɑ l	xɑl	Dutch	gal	205
#
198	*gangaz	g a n g a z	gangaz	Proto-Germanic	*gangaz	56
199	*gangaz	ɡ a ŋ	ɡaŋ	German	Gang	56
200	*gangaz	ɡ æ ŋ	ɡæŋ	English	gang	56
201	*gangaz	x ɑ ŋ	xɑŋ	Dutch	gang	56
#
1291	*gansz	g a n s z	gansz	Proto-Germanic	*gansz	355
1292	*gansz	ɡ a n s	ɡans	German	Gans	355
1293	*gansz	ɡ uː s	ɡuːs	English	goose	355
1294	*gansz	x ɑ n s	xɑns	Dutch	gans	355
#
561	*garnan	g a r n	garnan	Proto-Germanic	*garnan	154
